GohirA09G190850	Myb_box5_MYB	1.7907	-100	-95
GohirA09G190850	Myb_box5_MYB	1.7907	-78	-73
GohirA09G190850	Myb_box3_MYB	2.6196	-100	-95
GohirA09G190850	Myb_box1_MYB	1.9176	-100	-95
GohirA09G190850	HSE1_HSF	1.4172	-721	-714
GohirA09G190850	HSE1_HSF	1.4172	-754	-747
GohirA09G190850	W_box_WRKY	1.9652	-27	-22
GohirA09G190850	W_box_WRKY	1.9652	-668	-663

Gene	 TF_Name	 Z-Score	 Start	 End
GohirA09G194600	Myb_box5_MYB	0.5617	-658	-653
GohirA09G194600	Myb_box5_MYB	0.5617	-246	-241
GohirA09G194600	W_box_WRKY	2.0622	-219	-214
GohirA09G194600	HSE1_HSF	0.8541	-686	-679
GohirA09G194600	G_box_bHLH	2.9706	-324	-319
GohirA09G194600	Nac_box_NAC	2.4802	-587	-582

Gene	 TF_Name	 Z-Score	 Start	 End
GohirA09G203700	Myb_box1_MYB	1.6993	-458	-453
GohirA09G203700	Myb_box2_MYB	3.0004	-769	-764
GohirA09G203700	Myb_box3_MYB	2.4262	-458	-453
GohirA09G203700	Nac_box_NAC	3.1774	-344	-339
GohirA09G203700	Myb_box5_MYB	2.9930	-710	-705
GohirA09G203700	HSE1_HSF	1.1855	-726	-719
GohirA09G203700	AuxRE_ARF	3.2769	-956	-951
GohirA09G203700	W_box_WRKY	2.5762	-451	-446
GohirA09G203700	W_box_WRKY	2.5762	-841	-836

Gene	 TF_Name	 Z-Score	 Start	 End
GohirA09G209900	HSE1_HSF	1.5073	-192	-185
GohirA09G209900	HSE1_HSF	1.5073	-455	-448
GohirA09G209900	HSE1_HSF	1.5073	-128	-121
GohirA09G209900	Nac_box_NAC	3.3462	-175	-170
GohirA09G209900	G_box2_bZIP	2.7796	-723	-718
GohirA09G209900	Myb_box5_MYB	1.0495	-113	-108
GohirA09G209900	Myb_box5_MYB	1.0495	-826	-821
GohirA09G209900	Myb_box5_MYB	1.0495	-270	-265
GohirA09G209900	Myb_box5_MYB	1.0495	-602	-597
GohirA09G209900	Myb_box5_MYB	1.0495	-201	-196
GohirA09G209900	Myb_box5_MYB	1.0495	-973	-968
GohirA09G209900	Myb_box5_MYB	1.0495	-972	-967
GohirA09G209900	Myb_box5_MYB	1.0495	-269	-264

Gene	 TF_Name	 Z-Score	 Start	 End
GohirA09G213602	Myb_box2_MYB	2.9636	-46	-41
GohirA09G213602	Myb_box5_MYB	2.3062	-933	-928
GohirA09G213602	Myb_box5_MYB	2.3062	-247	-242
GohirA09G213602	Myb_box1_MYB	2.4530	-247	-242
GohirA09G213602	DREB_AP2_EREBP	3.0127	-740	-735
GohirA09G213602	Nac_box_NAC	3.1593	-904	-899
GohirA09G213602	Myb_box4_MYB	2.8938	-541	-535

Gene	 TF_Name	 Z-Score	 Start	 End
GohirA09G213624	Myb_box5_MYB	3.5281	-553	-548
GohirA09G213624	Myb_box1_MYB	2.8026	-407	-402
GohirA09G213624	Myb_box3_MYB	2.7413	-328	-323
GohirA09G213624	AuxRE_ARF	3.4489	-989	-984

Gene	 TF_Name	 Z-Score	 Start	 End
GohirA09G216700	Myb_box1_MYB	3.3397	-851	-846
GohirA09G216700	HSE1_HSF	0.4377	-85	-78
GohirA09G216700	HSE1_HSF	0.4377	-915	-908
GohirA09G216700	HSE1_HSF	0.4377	-756	-749
GohirA09G216700	Myb_box3_MYB	2.4925	-192	-187
GohirA09G216700	Myb_box5_MYB	3.2803	-623	-618
GohirA09G216700	Myb_box5_MYB	3.2803	-851	-846

Gene	 TF_Name	 Z-Score	 Start	 End
GohirA09G217700	W_box_WRKY	2.2959	-142	-137
GohirA09G217700	Myb_box2_MYB	2.9868	-507	-502
GohirA09G217700	Myb_box5_MYB	2.9768	-506	-501

Gene	 TF_Name	 Z-Score	 Start	 End
GohirA09G220400	Myb_box5_MYB	2.6960	-14	-9
GohirA09G220400	HSE1_HSF	0.8267	-124	-117
GohirA09G220400	HSE1_HSF	0.8267	-820	-813
GohirA09G220400	HSE1_HSF	0.8267	-904	-897

Gene	 TF_Name	 Z-Score	 Start	 End
GohirA09G221800	HSE1_HSF	0.9296	-679	-672
GohirA09G221800	Myb_box5_MYB	2.7371	-330	-325
GohirA09G221800	Myb_box5_MYB	2.7371	-672	-667
GohirA09G221800	Myb_box5_MYB	2.7371	-328	-323
GohirA09G221800	N_box_bHLH	3.2705	-333	-328
GohirA09G221800	Myb_box1_MYB	2.8526	-330	-325
GohirA09G221800	W_box_WRKY	2.1652	-338	-333
GohirA09G221800	Myb_box2_MYB	2.5813	-383	-378

Gene	 TF_Name	 Z-Score	 Start	 End
GohirA09G228300	HSE1_HSF	2.0862	-629	-622
GohirA09G228300	HSE1_HSF	2.0862	-337	-330
GohirA09G228300	Myb_box5_MYB	1.5243	-764	-759
GohirA09G228300	Myb_box3_MYB	2.4960	-764	-759
GohirA09G228300	Myb_box1_MYB	1.6963	-764	-759

No TFBS found
Gene	 TF_Name	 Z-Score	 Start	 End
GohirA09G237300	Myb_box1_MYB	2.0235	-65	-60
GohirA09G237300	Myb_box5_MYB	2.6547	-289	-284
GohirA09G237300	DREB_AP2_EREBP	4.1282	-896	-891
GohirA09G237300	Myb_box3_MYB	2.7371	-65	-60

Gene	 TF_Name	 Z-Score	 Start	 End
GohirA09G244000	G_box2_bZIP	2.6879	-143	-138
GohirA09G244000	Myb_box5_MYB	2.5067	-79	-74
GohirA09G244000	Myb_box5_MYB	2.5067	-752	-747
GohirA09G244000	Myb_box5_MYB	2.5067	-936	-931
GohirA09G244000	Myb_box5_MYB	2.5067	-57	-52
GohirA09G244000	HSE1_HSF	1.3957	-746	-739
GohirA09G244000	Myb_box3_MYB	2.5986	-906	-901
GohirA09G244000	Myb_box3_MYB	2.5986	-660	-655
GohirA09G244000	Myb_box3_MYB	2.5986	-281	-276
GohirA09G244000	Nac_box_NAC	3.3702	-867	-862
GohirA09G244000	Myb_box1_MYB	2.6539	-57	-52
GohirA09G244000	Myb_box1_MYB	2.6539	-79	-74

Gene	 TF_Name	 Z-Score	 Start	 End
GohirA10G000024	G_box2_bZIP	2.3771	-334	-329
GohirA10G000024	AuxRE_ARF	3.1836	-71	-66
GohirA10G000024	Myb_box5_MYB	3.1617	-901	-896
GohirA10G000024	Myb_box1_MYB	3.1835	-901	-896
GohirA10G000024	HSE1_HSF	1.0437	-299	-292

Gene	 TF_Name	 Z-Score	 Start	 End
GohirA10G001000	HSE1_HSF	-0.1546	-481	-474
GohirA10G001000	HSE1_HSF	-0.1546	-94	-87
GohirA10G001000	AuxRE_ARF	2.4257	-263	-258
GohirA10G001000	AuxRE_ARF	2.4257	-260	-255
GohirA10G001000	AuxRE_ARF	2.4257	-181	-176
GohirA10G001000	Nac_box_NAC	2.5252	-70	-65
GohirA10G001000	HBE_HB	1.1543	-455	-447
GohirA10G001000	Myb_box5_MYB	1.7115	-61	-56
GohirA10G001000	Myb_box5_MYB	1.7115	-592	-587
GohirA10G001000	Myb_box5_MYB	1.7115	-793	-788
GohirA10G001000	Myb_box5_MYB	1.7115	-279	-274

Gene	 TF_Name	 Z-Score	 Start	 End
GohirA10G001200	Myb_box5_MYB	1.7420	-441	-436
GohirA10G001200	Myb_box5_MYB	1.7420	-600	-595
GohirA10G001200	Myb_box3_MYB	2.5799	-600	-595
GohirA10G001200	W_box_WRKY	1.9519	-189	-184
GohirA10G001200	Myb_box1_MYB	1.9010	-600	-595

Gene	 TF_Name	 Z-Score	 Start	 End
GohirA10G002500	G_box2_bZIP	2.4453	-720	-715
GohirA10G002500	AuxRE_ARF	3.0286	-58	-53
GohirA10G002500	HSE1_HSF	1.1732	-670	-663
GohirA10G002500	Nac_box_NAC	3.0771	-325	-320
GohirA10G002500	Myb_box5_MYB	1.5126	-296	-291
GohirA10G002500	Myb_box5_MYB	1.5126	-208	-203

No TFBS found
Gene	 TF_Name	 Z-Score	 Start	 End
GohirA10G014501	Myb_box3_MYB	2.9230	-397	-392
GohirA10G014501	Myb_box1_MYB	2.2009	-397	-392
GohirA10G014501	Myb_box5_MYB	2.0688	-397	-392
GohirA10G014501	Nac_box_NAC	3.6139	-107	-102
GohirA10G014501	Nac_box_NAC	3.6139	-452	-447

Gene	 TF_Name	 Z-Score	 Start	 End
GohirA10G019800	DREB_AP2_EREBP	3.6367	-600	-595
GohirA10G019800	Myb_box5_MYB	3.0679	-10	-5
GohirA10G019800	N_box_bHLH	3.6481	-6	-1
GohirA10G019800	Myb_box1_MYB	2.3793	-85	-80

Gene	 TF_Name	 Z-Score	 Start	 End
GohirA10G022500	Myb_box1_MYB	2.4967	-901	-896
GohirA10G022500	HSE1_HSF	1.9757	-998	-991
GohirA10G022500	Myb_box2_MYB	3.1927	-812	-807
GohirA10G022500	Myb_box5_MYB	2.3545	-692	-687
GohirA10G022500	Myb_box5_MYB	2.3545	-771	-766
GohirA10G022500	Myb_box5_MYB	2.3545	-822	-817
GohirA10G022500	Myb_box5_MYB	2.3545	-901	-896
GohirA10G022500	W_box_WRKY	1.7799	-943	-938

No TFBS found
Gene	 TF_Name	 Z-Score	 Start	 End
GohirA10G037700	HSE1_HSF	1.9519	-605	-598
GohirA10G037700	AuxRE_ARF	3.0672	-837	-832
GohirA10G037700	Myb_box1_MYB	2.4772	-331	-326
GohirA10G037700	Myb_box5_MYB	2.3437	-418	-413
GohirA10G037700	Myb_box5_MYB	2.3437	-331	-326

Gene	 TF_Name	 Z-Score	 Start	 End
GohirA10G040400	N_box_bHLH	3.1245	-131	-126
GohirA10G040400	Myb_box1_MYB	1.8975	-854	-849
GohirA10G040400	Myb_box5_MYB	1.8043	-58	-53
GohirA10G040400	Myb_box5_MYB	1.8043	-854	-849
GohirA10G040400	Myb_box5_MYB	1.8043	-191	-186
GohirA10G040400	Myb_box3_MYB	1.9299	-550	-545
GohirA10G040400	HSE1_HSF	0.5802	-777	-770

Gene	 TF_Name	 Z-Score	 Start	 End
GohirA10G042460	Myb_box1_MYB	1.6020	-825	-820
GohirA10G042460	G_box2_bZIP	2.3694	-362	-357
GohirA10G042460	G_box_bHLH	3.5606	-742	-737
GohirA10G042460	Nac_box_NAC	2.9103	-689	-684
GohirA10G042460	Myb_box5_MYB	2.3123	-285	-280
GohirA10G042460	Myb_box3_MYB	2.3282	-825	-820

Gene	 TF_Name	 Z-Score	 Start	 End
GohirA10G048037	Myb_box2_MYB	2.8593	-164	-159
GohirA10G048037	HSE1_HSF	0.8023	-516	-509
GohirA10G048037	HSE1_HSF	0.8023	-266	-259
GohirA10G048037	HSE1_HSF	0.8023	-755	-748
GohirA10G048037	HSE1_HSF	0.8023	-261	-254
GohirA10G048037	G_box2_bZIP	3.0582	-829	-824
GohirA10G048037	Nac_box_NAC	3.0074	-987	-982
GohirA10G048037	W_box_WRKY	1.4823	-862	-857
GohirA10G048037	Myb_box1_MYB	2.2648	-324	-319
GohirA10G048037	Myb_box5_MYB	2.1125	-181	-176
GohirA10G048037	Myb_box5_MYB	2.1125	-324	-319
GohirA10G048037	Myb_box5_MYB	2.1125	-631	-626

Gene	 TF_Name	 Z-Score	 Start	 End
GohirA10G060650	Myb_box5_MYB	2.2277	-436	-431
GohirA10G060650	Myb_box5_MYB	2.2277	-162	-157
GohirA10G060650	Myb_box1_MYB	2.2826	-436	-431
GohirA10G060650	N_box_bHLH	3.4681	-483	-478
GohirA10G060650	N_box_bHLH	3.4681	-470	-465
GohirA10G060650	HSE1_HSF	0.4536	-352	-345

Gene	 TF_Name	 Z-Score	 Start	 End
GohirA10G066400	HBE_HB	1.7643	-626	-618
GohirA10G066400	Myb_box1_MYB	3.0715	-911	-906
GohirA10G066400	Myb_box5_MYB	2.9623	-911	-906
GohirA10G066400	DREB_AP2_EREBP	2.8884	-442	-437
GohirA10G066400	HSE1_HSF	1.8335	-53	-46

Gene	 TF_Name	 Z-Score	 Start	 End
GohirA10G073200	Myb_box1_MYB	2.4793	-756	-751
GohirA10G073200	Myb_box4_MYB	3.0934	-436	-430
GohirA10G073200	Myb_box5_MYB	3.1637	-708	-703
GohirA10G073200	Myb_box2_MYB	3.2139	-707	-702
GohirA10G073200	W_box_WRKY	1.7853	-979	-974
GohirA10G073200	HSE1_HSF	0.4952	-830	-823

Gene	 TF_Name	 Z-Score	 Start	 End
GohirA10G085100	Myb_box1_MYB	2.4551	-141	-136
GohirA10G085100	G_box2_bZIP	3.1755	-124	-119
GohirA10G085100	Myb_box5_MYB	2.3022	-141	-136
GohirA10G085100	HSE1_HSF	1.1919	-640	-633

Gene	 TF_Name	 Z-Score	 Start	 End
GohirA10G086800	G_box2_bZIP	2.9732	-156	-151
GohirA10G086800	Myb_box5_MYB	2.8725	-946	-941
GohirA10G086800	HBE_HB	2.3437	-234	-226

Gene	 TF_Name	 Z-Score	 Start	 End
GohirA10G089700	GCC_box_AP2_EREBP	4.2184	-12	-7
GohirA10G089700	GCC_box_AP2_EREBP	4.2184	-11	-6
GohirA10G089700	Myb_box5_MYB	2.1719	-20	-15
GohirA10G089700	Myb_box5_MYB	2.1719	-493	-488
GohirA10G089700	Myb_box5_MYB	2.1719	-256	-251
GohirA10G089700	Myb_box1_MYB	2.2937	-256	-251
GohirA10G089700	Myb_box2_MYB	2.8663	-402	-397
GohirA10G089700	Nac_box_NAC	2.8512	-983	-978
GohirA10G089700	HSE1_HSF	1.0780	-756	-749

Gene	 TF_Name	 Z-Score	 Start	 End
GohirA10G095800	Myb_box5_MYB	1.7221	-652	-647
GohirA10G095800	Myb_box5_MYB	1.7221	-554	-549
GohirA10G095800	Myb_box5_MYB	1.7221	-650	-645
GohirA10G095800	AuxRE_ARF	3.2147	-124	-119
GohirA10G095800	HSE1_HSF	1.3483	-105	-98
GohirA10G095800	HSE1_HSF	1.3483	-475	-468
GohirA10G095800	Myb_box2_MYB	3.3739	-661	-656

Gene	 TF_Name	 Z-Score	 Start	 End
GohirA10G102900	Myb_box2_MYB	2.6186	-465	-460
GohirA10G102900	Myb_box2_MYB	2.6186	-49	-44
GohirA10G102900	Myb_box5_MYB	1.2178	-258	-253
GohirA10G102900	Myb_box5_MYB	1.2178	-762	-757
GohirA10G102900	W_box_WRKY	1.4924	-985	-980

Gene	 TF_Name	 Z-Score	 Start	 End
GohirA10G107400	AuxRE_ARF	3.0575	-748	-743
GohirA10G107400	AuxRE_ARF	3.0575	-606	-601
GohirA10G107400	Myb_box5_MYB	2.4249	-203	-198
GohirA10G107400	Myb_box3_MYB	2.4112	-47	-42
GohirA10G107400	Myb_box3_MYB	2.4112	-901	-896
GohirA10G107400	HSE1_HSF	1.0126	-337	-330
GohirA10G107400	C_ABRE_bZIP	4.4451	-396	-391
GohirA10G107400	Myb_box1_MYB	2.4530	-203	-198

Gene	 TF_Name	 Z-Score	 Start	 End
GohirA10G112700	G_box2_bZIP	2.6334	-506	-501
GohirA10G112700	Myb_box5_MYB	2.5260	-258	-253
GohirA10G112700	HSE1_HSF	1.3214	-783	-776
GohirA10G112700	HSE1_HSF	1.3214	-218	-211
GohirA10G112700	W_box_WRKY	1.9135	-908	-903

Gene	 TF_Name	 Z-Score	 Start	 End
GohirA10G117100	Myb_box1_MYB	2.8752	-124	-119
GohirA10G117100	Myb_box5_MYB	2.8144	-124	-119
GohirA10G117100	Myb_box5_MYB	2.8144	-187	-182
GohirA10G117100	Myb_box5_MYB	2.8144	-480	-475
GohirA10G117100	HSE1_HSF	1.6714	-452	-445

Gene	 TF_Name	 Z-Score	 Start	 End
GohirA10G121300	HSE1_HSF	0.1841	-443	-436
GohirA10G121300	HSE1_HSF	0.1841	-143	-136
GohirA10G121300	Myb_box5_MYB	2.9202	-26	-21
GohirA10G121300	G_box2_bZIP	2.2132	-134	-129
GohirA10G121300	Nac_box_NAC	2.8091	-387	-382
GohirA10G121300	W_box_WRKY	1.5798	-18	-13
GohirA10G121300	Myb_box1_MYB	2.1883	-652	-647

Gene	 TF_Name	 Z-Score	 Start	 End
GohirA10G122600	DREB_AP2_EREBP	3.3181	-677	-672
GohirA10G122600	DREB_AP2_EREBP	3.3181	-91	-86
GohirA10G122600	G_box2_bZIP	2.1719	-98	-93
GohirA10G122600	Myb_box1_MYB	2.0940	-75	-70
GohirA10G122600	W_box_WRKY	1.4943	-21	-16
GohirA10G122600	W_box_WRKY	1.4943	-598	-593
GohirA10G122600	Myb_box5_MYB	1.9702	-494	-489
GohirA10G122600	Myb_box5_MYB	1.9702	-856	-851
GohirA10G122600	Myb_box5_MYB	1.9702	-75	-70

Gene	 TF_Name	 Z-Score	 Start	 End
GohirA10G126400	HSE1_HSF	1.0507	-213	-206
GohirA10G126400	Myb_box1_MYB	2.3195	-906	-901
GohirA10G126400	Myb_box1_MYB	2.3195	-839	-834
GohirA10G126400	Myb_box2_MYB	3.9058	-958	-953
GohirA10G126400	Myb_box3_MYB	3.0742	-906	-901
GohirA10G126400	Myb_box3_MYB	3.0742	-839	-834
GohirA10G126400	Nac_box_NAC	3.8859	-133	-128
GohirA10G126400	Myb_box5_MYB	2.9569	-870	-865

Gene	 TF_Name	 Z-Score	 Start	 End
GohirA10G129200	Myb_box1_MYB	2.2915	-399	-394
GohirA10G129200	Myb_box1_MYB	2.2915	-866	-861
GohirA10G129200	Myb_box5_MYB	2.2171	-866	-861
GohirA10G129200	Myb_box5_MYB	2.2171	-399	-394
GohirA10G129200	Myb_box5_MYB	2.2171	-725	-720
GohirA10G129200	W_box_WRKY	2.3975	-728	-723
GohirA10G129200	W_box_WRKY	2.3975	-890	-885
GohirA10G129200	AuxRE_ARF	2.8841	-475	-470
GohirA10G129200	HSE1_HSF	0.9948	-371	-364

Gene	 TF_Name	 Z-Score	 Start	 End
GohirA10G136800	Nac_box_NAC	3.3843	-169	-164
GohirA10G136800	Nac_box_NAC	3.3843	-190	-185
GohirA10G136800	Myb_box1_MYB	1.9788	-83	-78
GohirA10G136800	Myb_box1_MYB	1.9788	-517	-512
GohirA10G136800	Myb_box1_MYB	1.9788	-523	-518
GohirA10G136800	HSE1_HSF	0.7746	-441	-434
GohirA10G136800	Myb_box3_MYB	2.6716	-517	-512
GohirA10G136800	Myb_box3_MYB	2.6716	-83	-78
GohirA10G136800	Myb_box3_MYB	2.6716	-523	-518
GohirA10G136800	N_box_bHLH	4.0169	-772	-767
GohirA10G136800	W_box_WRKY	2.0251	-974	-969
GohirA10G136800	Myb_box5_MYB	2.6145	-746	-741

Gene	 TF_Name	 Z-Score	 Start	 End
GohirA10G142700	Myb_box5_MYB	2.5710	-187	-182
GohirA10G142700	W_box_WRKY	1.8361	-810	-805
GohirA10G142700	Myb_box1_MYB	1.8671	-566	-561
GohirA10G142700	Myb_box1_MYB	1.8671	-333	-328
GohirA10G142700	Myb_box2_MYB	3.4770	-649	-644
GohirA10G142700	Myb_box3_MYB	2.5884	-566	-561
GohirA10G142700	Myb_box3_MYB	2.5884	-333	-328

Gene	 TF_Name	 Z-Score	 Start	 End
GohirA10G157900	G_box2_bZIP	2.3377	-848	-843
GohirA10G157900	Myb_box3_MYB	2.3308	-141	-136
GohirA10G157900	Myb_box1_MYB	2.3820	-416	-411
GohirA10G157900	Myb_box5_MYB	2.3215	-416	-411

No TFBS found
Gene	 TF_Name	 Z-Score	 Start	 End
GohirA10G167800	Myb_box3_MYB	3.1913	-300	-295
GohirA10G167800	HSE1_HSF	1.9698	-310	-303
GohirA10G167800	Myb_box1_MYB	2.4306	-300	-295
GohirA10G167800	W_box_WRKY	2.4296	-800	-795
GohirA10G167800	Myb_box5_MYB	2.2799	-956	-951
GohirA10G167800	Myb_box5_MYB	2.2799	-300	-295
GohirA10G167800	Myb_box5_MYB	2.2799	-880	-875

Gene	 TF_Name	 Z-Score	 Start	 End
GohirA10G168900	W_box_WRKY	2.5798	-431	-426
GohirA10G168900	Myb_box4_MYB	3.3053	-866	-860
GohirA10G168900	Myb_box5_MYB	2.4651	-18	-13
GohirA10G168900	Myb_box5_MYB	2.4651	-670	-665
GohirA10G168900	Myb_box5_MYB	2.4651	-880	-875
GohirA10G168900	Myb_box1_MYB	2.5071	-880	-875
GohirA10G168900	G_box_bHLH	3.8526	-140	-135

Gene	 TF_Name	 Z-Score	 Start	 End
GohirA10G169200	Nac_box_NAC	2.4560	-913	-908
GohirA10G169200	Myb_box1_MYB	1.7775	-33	-28
GohirA10G169200	AuxRE_ARF	2.4619	-651	-646
GohirA10G169200	Myb_box5_MYB	1.6783	-33	-28
GohirA10G169200	Myb_box5_MYB	1.6783	-35	-30
GohirA10G169200	HSE1_HSF	0.3754	-437	-430
GohirA10G169200	HSE1_HSF	0.3754	-797	-790
GohirA10G169200	HSE1_HSF	0.3754	-907	-900
GohirA10G169200	W_box_WRKY	1.9209	-299	-294
GohirA10G169200	W_box_WRKY	1.9209	-242	-237
GohirA10G169200	N_box_bHLH	3.0327	-842	-837

Gene	 TF_Name	 Z-Score	 Start	 End
GohirA10G172600	Myb_box1_MYB	2.6369	-208	-203
GohirA10G172600	G_box2_bZIP	3.3773	-911	-906
GohirA10G172600	Myb_box5_MYB	2.5458	-414	-409
GohirA10G172600	Myb_box5_MYB	2.5458	-208	-203
GohirA10G172600	Myb_box5_MYB	2.5458	-602	-597
GohirA10G172600	HSE1_HSF	0.5852	-451	-444
GohirA10G172600	Myb_box3_MYB	2.5825	-667	-662
GohirA10G172600	Nac_box_NAC	3.2702	-636	-631
GohirA10G172600	Myb_box2_MYB	3.3958	-541	-536

Gene	 TF_Name	 Z-Score	 Start	 End
GohirA10G182700	Myb_box2_MYB	2.9116	-66	-61
GohirA10G182700	W_box_WRKY	1.5196	-660	-655
GohirA10G182700	W_box_WRKY	1.5196	-194	-189
GohirA10G182700	N_box_bHLH	3.5059	-121	-116
GohirA10G182700	HSE1_HSF	0.9544	-241	-234
GohirA10G182700	Myb_box5_MYB	2.9119	-989	-984
GohirA10G182700	Nac_box_NAC	2.8985	-90	-85
GohirA10G182700	G_box2_bZIP	2.2223	-637	-632

Gene	 TF_Name	 Z-Score	 Start	 End
GohirA10G187200	Myb_box5_MYB	2.5555	-926	-921
GohirA10G187200	Myb_box5_MYB	2.5555	-190	-185
GohirA10G187200	Myb_box5_MYB	2.5555	-922	-917
GohirA10G187200	Nac_box_NAC	3.4278	-26	-21
GohirA10G187200	HSE1_HSF	1.4398	-888	-881

Gene	 TF_Name	 Z-Score	 Start	 End
GohirA10G188600	Myb_box3_MYB	2.2832	-24	-19
GohirA10G188600	Myb_box3_MYB	2.2832	-44	-39
GohirA10G188600	Myb_box5_MYB	2.2601	-448	-443
GohirA10G188600	Myb_box5_MYB	2.2601	-716	-711
GohirA10G188600	HSE1_HSF	0.1806	-695	-688
GohirA10G188600	Myb_box1_MYB	2.3129	-716	-711

No TFBS found
Gene	 TF_Name	 Z-Score	 Start	 End
GohirA10G197600	G_box2_bZIP	2.7412	-519	-514
GohirA10G197600	Myb_box2_MYB	3.5215	-616	-611
GohirA10G197600	HSE1_HSF	0.6650	-747	-740
GohirA10G197600	HSE1_HSF	0.6650	-479	-472
GohirA10G197600	HSE1_HSF	0.6650	-18	-11
GohirA10G197600	W_box_WRKY	2.7302	-513	-508
GohirA10G197600	W_box_WRKY	2.7302	-316	-311
GohirA10G197600	Myb_box5_MYB	1.8137	-484	-479
GohirA10G197600	Myb_box5_MYB	1.8137	-572	-567
GohirA10G197600	G_box_bHLH	4.0480	-173	-168
GohirA10G197600	Nac_box_NAC	3.3998	-527	-522
GohirA10G197600	DREB_AP2_EREBP	3.4500	-148	-143

Gene	 TF_Name	 Z-Score	 Start	 End
GohirA10G199200	Myb_box1_MYB	2.0323	-293	-288
GohirA10G199200	Myb_box1_MYB	2.0323	-13	-8
GohirA10G199200	HSE1_HSF	1.5763	-745	-738
GohirA10G199200	Myb_box5_MYB	2.6444	-910	-905
GohirA10G199200	Myb_box3_MYB	2.7562	-293	-288
GohirA10G199200	Myb_box3_MYB	2.7562	-13	-8
GohirA10G199200	W_box_WRKY	2.8680	-732	-727
GohirA10G199200	GCC_box_AP2_EREBP	5.2406	-696	-691
GohirA10G199200	GCC_box_AP2_EREBP	5.2406	-697	-692

Gene	 TF_Name	 Z-Score	 Start	 End
GohirA10G199401	DREB_AP2_EREBP	3.2118	-157	-152
GohirA10G199401	Myb_box5_MYB	2.6187	-573	-568
GohirA10G199401	Myb_box4_MYB	2.4483	-361	-355
GohirA10G199401	Myb_box2_MYB	2.5055	-572	-567
GohirA10G199401	HSE1_HSF	1.4709	-22	-15

Gene	 TF_Name	 Z-Score	 Start	 End
GohirA10G201100	Myb_box1_MYB	2.8395	-684	-679
GohirA10G201100	W_box_WRKY	2.1471	-288	-283
GohirA10G201100	Myb_box5_MYB	2.7215	-668	-663
GohirA10G201100	Myb_box5_MYB	2.7215	-901	-896
GohirA10G201100	Myb_box5_MYB	2.7215	-684	-679

Gene	 TF_Name	 Z-Score	 Start	 End
GohirA10G203800	Myb_box5_MYB	2.4741	-142	-137
GohirA10G203800	Myb_box5_MYB	2.4741	-596	-591
GohirA10G203800	Myb_box3_MYB	2.4700	-877	-872
GohirA10G203800	Myb_box3_MYB	2.4700	-581	-576
GohirA10G203800	Myb_box1_MYB	2.5214	-142	-137
GohirA10G203800	HSE1_HSF	1.2477	-458	-451

Gene	 TF_Name	 Z-Score	 Start	 End
GohirA10G208800	Myb_box1_MYB	1.9189	-947	-942
GohirA10G208800	Myb_box4_MYB	3.4280	-243	-237
GohirA10G208800	HSE1_HSF	1.4438	-400	-393
GohirA10G208800	HSE1_HSF	1.4438	-877	-870
GohirA10G208800	N_box_bHLH	3.4862	-215	-210
GohirA10G208800	Myb_box5_MYB	2.6161	-559	-554
GohirA10G208800	Myb_box5_MYB	2.6161	-571	-566
GohirA10G208800	Myb_box5_MYB	2.6161	-672	-667
GohirA10G208800	Myb_box5_MYB	2.6161	-835	-830
GohirA10G208800	Myb_box5_MYB	2.6161	-918	-913
GohirA10G208800	W_box_WRKY	1.8844	-564	-559
GohirA10G208800	W_box_WRKY	1.8844	-871	-866
GohirA10G208800	W_box_WRKY	1.8844	-653	-648
GohirA10G208800	W_box_WRKY	1.8844	-681	-676
GohirA10G208800	W_box_WRKY	1.8844	-327	-322
GohirA10G208800	Myb_box3_MYB	2.6360	-947	-942
GohirA10G208800	C_ABRE_bZIP	4.6694	-92	-87
GohirA10G208800	Nac_box_NAC	3.4312	-95	-90

Gene	 TF_Name	 Z-Score	 Start	 End
GohirA10G220800	Myb_box1_MYB	2.7959	-832	-827
GohirA10G220800	Myb_box2_MYB	2.6460	-605	-600
GohirA10G220800	HSE1_HSF	0.8337	-327	-320
GohirA10G220800	HSE1_HSF	0.8337	-345	-338
GohirA10G220800	Myb_box5_MYB	2.7351	-832	-827

Gene	 TF_Name	 Z-Score	 Start	 End
GohirA10G231807	Myb_box1_MYB	2.5891	-422	-417
GohirA10G231807	Myb_box5_MYB	2.4983	-424	-419
GohirA10G231807	Myb_box5_MYB	2.4983	-934	-929
GohirA10G231807	Myb_box5_MYB	2.4983	-422	-417
GohirA10G231807	W_box_WRKY	2.6698	-626	-621

Gene	 TF_Name	 Z-Score	 Start	 End
GohirA10G241300	G_box_bHLH	4.1044	-709	-704
GohirA10G241300	Nac_box_NAC	3.3697	-766	-761
GohirA10G241300	Nac_box_NAC	3.3697	-90	-85
GohirA10G241300	Myb_box3_MYB	2.7440	-223	-218
GohirA10G241300	HSE1_HSF	0.6810	-361	-354
GohirA10G241300	Myb_box5_MYB	1.9070	-223	-218
GohirA10G241300	Myb_box5_MYB	1.9070	-148	-143
GohirA10G241300	N_box_bHLH	3.5961	-104	-99
GohirA10G241300	Myb_box1_MYB	2.0168	-223	-218

Gene	 TF_Name	 Z-Score	 Start	 End
